Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:33:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:33:52        all     99.00      0.00      0.00      1.00      0.00      0.00
08:33:53        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:54        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:55        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:56        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:57        all    100.00      0.00      0.00      0.00      0.00      0.00
08:33:58        all    100.00      0.00      0.00      0.00      0.00      0.00
