Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:33:51    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
08:33:52            0         0      0.00         0      0.00
08:33:53            0         0      0.00         0      0.00
08:33:54            0         0      0.00         0      0.00
08:33:55            0         0      0.00         0      0.00
08:33:56            0         0      0.00         0      0.00
08:33:57            0         0      0.00         0      0.00
08:33:58            0         0      0.00         0      0.00
