Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:38:25    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
05:38:26            0         0      0.00         0      0.00
05:38:27            0         0      0.00         0      0.00
05:38:28            0         0      0.00         0      0.00
05:38:29            0         0      0.00         0      0.00
05:38:30            0         0      0.00         0      0.00
05:38:31            0         0      0.00         0      0.00
