Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:38:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:38:26        all     30.50      0.00     19.50      0.50      0.00     49.50
05:38:27        all     26.00      0.00     20.00     27.50      0.00     26.50
05:38:28        all     25.00      0.00     23.00     52.00      0.00      0.00
05:38:29        all     12.23      0.00     13.30     74.47      0.00      0.00
05:38:30        all     12.76      0.00     14.80     72.45      0.00      0.00
05:38:31        all     12.24      0.00     13.78     73.98      0.00      0.00
