Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:08:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:08:13        all    100.00      0.00      0.00      0.00      0.00      0.00
17:08:14        all    100.00      0.00      0.00      0.00      0.00      0.00
17:08:15        all     99.00      0.00      1.00      0.00      0.00      0.00
17:08:16        all    100.00      0.00      0.00      0.00      0.00      0.00
17:08:17        all    100.00      0.00      0.00      0.00      0.00      0.00
17:08:18        all     99.01      0.00      0.99      0.00      0.00      0.00
17:08:19        all    100.00      0.00      0.00      0.00      0.00      0.00
