Linux 5.15.0-1029-gcp (instance-2) 	02/25/23 	_aarch64_	(1 CPU)

08:32:25    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
08:32:26            0         0      0.00         0      0.00
08:32:27            0         0      0.00         0      0.00
08:32:28            0         0      0.00         0      0.00
08:32:29            0         0      0.00         0      0.00
08:32:30            0         0      0.00         0      0.00
08:32:31            0         0      0.00         0      0.00
