Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:39:59    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
05:40:00            0         0      0.00         0      0.00
05:40:01            0         0      0.00         0      0.00
05:40:02            0         0      0.00         0      0.00
05:40:03            0         0      0.00         0      0.00
05:40:04            0         0      0.00         0      0.00
05:40:05            0         0      0.00         0      0.00
05:40:06            0         0      0.00         0      0.00
