Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:39:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:00        all     50.00      0.00      0.00      0.00      0.00     50.00
05:40:01        all     50.00      0.00      0.00      0.00      0.00     50.00
05:40:02        all     50.25      0.00      0.00      0.00      0.00     49.75
05:40:03        all     50.00      0.00      0.00      0.00      0.00     50.00
05:40:04        all     49.75      0.00      0.00      0.00      0.00     50.25
05:40:05        all     49.75      0.00      0.50      0.00      0.00     49.75
05:40:06        all     50.00      0.00      0.00      0.00      0.00     50.00
