Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:38:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:38:10        all     48.50      0.00      2.50      0.00      0.00     49.00
05:38:11        all     47.74      0.00      2.01      0.00      0.00     50.25
05:38:12        all     47.76      0.00      1.99      0.00      0.50     49.75
05:38:13        all     47.50      0.00      2.00      0.00      0.50     50.00
05:38:14        all     47.50      0.00      2.50      0.00      0.00     50.00
