Linux 5.10.0-21-cloud-amd64 (instance-1) 	02/25/23 	_x86_64_	(2 CPU)

05:38:41    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
05:38:42            0         0      0.00         0      0.00
05:38:43            0         0      0.00         0      0.00
05:38:44            0         0      0.00         0      0.00
05:38:45            0         0      0.00         0      0.00
05:38:46            0         0      0.00         0      0.00
05:38:47            0         0      0.00         0      0.00
