Process-Name,Time-Taken,Avg-CPU-usage,Agv-Memory-usage,Avg-Swap-usage
'Read_Write', '11.14154577255249', '0.5718181818181818', '2.9490909090909097'
'copy_test', '11.124515295028687', '0.09545454545454546', '2.9899999999999993'
'Compression', '12.823391914367676', '1.6316666666666666', '2.955'
'Extraction', '12.08660888671875', '1.1391666666666664', '2.9466666666666668'
'Hashing', '5.3476221561431885', '47.8', '3.19'
'Encryption', '6.528902769088745', '19.788333333333334', '3.201666666666666'
'Decryption', '6.018327713012695', '10.71', '3.2399999999999998'
'Sorting', '50.079899311065674', '49.8306', '8.375399999999996'
'Random_Algorithm', '7.748555421829224', '49.964285714285715', '3.2100000000000004'
'Integer_Test', '36.175925493240356', '50.08027777777777', '12.118055555555559'
'Float_Test', '5.623555660247803', '38.58200000000001', '15.302000000000001'
