Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:06:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:06:59        all     63.00      0.00     36.00      1.00      0.00      0.00
17:07:00        all     50.00      0.00     34.38     15.62      0.00      0.00
17:07:01        all     17.78      0.00     14.44     67.78      0.00      0.00
17:07:02        all     18.28      0.00     12.90     68.82      0.00      0.00
17:07:03        all     17.98      0.00     13.48     68.54      0.00      0.00
