Linux 5.4.0-1100-gcp (instance-3) 	02/25/23 	_x86_64_	(1 CPU)

17:06:58    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
17:06:59            0         0      0.00         0      0.00
17:07:00            0         0      0.00         0      0.00
17:07:01            0         0      0.00         0      0.00
17:07:02            0         0      0.00         0      0.00
17:07:03            0         0      0.00         0      0.00
